date,a_close,h_close_hkd,fx_rate,h_close_cny,ah_premium_pct
2018-01-02,5.9,5.9496,0.92,5.473632,0.07789489684363149
2018-01-03,5.92,6.0012,0.92,5.521104,0.07224931825229142
2018-01-04,6.12,6.2285,0.92,5.730220000000001,0.06802182115171829
2018-01-05,6.15,6.2801,0.92,5.777692,0.06443887974644547
2018-01-08,6.1,6.1975,0.92,5.7017,0.06985635862988238
2018-01-09,6.09,6.2078,0.92,5.711176,0.06633029694759895
2018-01-10,6.26,6.3111,0.92,5.806212,0.07815560299899471
2018-01-11,6.27,6.3008,0.92,5.796736,0.08164318678649485
2018-01-12,6.26,6.4557,0.92,5.939244,0.054006200115704894
2018-01-15,6.31,6.3627,0.92,5.853684,0.07795364423498086
2018-01-16,6.23,6.4764,0.92,5.9582880000000005,0.04560236094663428
2018-01-17,6.31,6.3834,0.92,5.872728,0.07445807127454218
2018-01-18,6.25,6.3317,0.92,5.825164,0.07293116554315038
2018-01-19,6.44,6.2698,0.92,5.768216000000001,0.11646304507320804
2018-01-22,6.41,6.3731,0.92,5.863252,0.09324995753209997
2018-01-23,6.58,6.4247,0.92,5.910724,0.11323079879892894
2018-01-24,6.68,6.621,0.92,6.0913200000000005,0.09664243546554752
2018-01-25,6.62,6.6623,0.92,6.129316,0.08005526228375226
2018-01-26,6.66,6.5796,0.92,6.053232,0.1002386824096615
2018-01-29,6.66,6.5487,0.92,6.0248040000000005,0.10543015175265436
2018-01-30,6.52,6.3627,0.92,5.853684,0.1138284881794096
2018-01-31,6.45,6.2904,0.92,5.787168,0.11453477763216835
2018-02-01,6.44,6.2388,0.92,5.739696,0.12201064307238574
2018-02-02,6.66,6.5383,0.92,6.015236,0.10718847938800735
2018-02-05,6.69,6.3937,0.92,5.882204,0.13732879716514423
2018-02-06,6.31,6.0632,0.92,5.578144,0.13120062873959504
2018-02-07,6.13,6.0529,0.92,5.568668000000001,0.10080184345699883
2018-02-08,5.98,5.9392,0.92,5.464064,0.0944234913793105
2018-02-09,5.69,5.7636,0.92,5.302512,0.07307630798383857
2018-02-12,5.71,5.6397,0.92,5.188524,0.10050565440190695
2018-02-13,5.73,5.65,0.92,5.198,0.10234705656021537
2018-02-14,5.74,5.7017,0.92,5.245564,0.09425792917596665
2018-02-22,5.84,5.8773,0.92,5.407116,0.08005820478051517
2018-02-23,5.86,5.9599,0.92,5.4831080000000005,0.06873692803424625
2018-02-26,5.91,6.0322,0.92,5.549624,0.06493701194891766
2018-02-27,5.82,6.0012,0.92,5.521104,0.05413699868721911
2018-02-28,5.73,5.8876,0.92,5.4165920000000005,0.05786073604953068
2018-03-01,5.74,5.8153,0.92,5.350076,0.07288195532175634
2018-03-02,5.7,5.7327,0.92,5.274084,0.08075639295847381
2018-03-05,5.73,5.588,0.92,5.140960000000001,0.11457782204101963
2018-03-06,5.8,5.8153,0.92,5.350076,0.08409674927982347
2018-03-07,5.74,5.6913,0.92,5.235996,0.09625752196907711
2018-03-08,5.75,5.712,0.92,5.25504,0.0941876750700279
2018-03-09,5.75,5.8256,0.92,5.359552,0.07285086514693773
2018-03-12,5.76,5.9806,0.92,5.502152000000001,0.04686311828535428
2018-03-13,5.72,5.8669,0.92,5.3975480000000005,0.059740459927359435
2018-03-14,5.72,5.8463,0.92,5.378596000000001,0.06347455730082707
2018-03-15,5.69,5.8256,0.92,5.359552,0.061655899597578445
2018-03-16,5.66,5.7946,0.92,5.331032,0.061708127056824935
2018-03-19,5.7,5.8566,0.92,5.388072,0.05789232215159701
2018-03-20,5.78,5.8979,0.92,5.426068,0.06522808044425554
2018-03-21,5.75,6.0115,0.92,5.5305800000000005,0.03967395824669384
2018-03-22,5.76,6.0425,0.92,5.559100000000001,0.03613894335413992
2018-03-23,5.6,5.9392,0.92,5.464064,0.02487818590704638
2018-03-26,5.55,6.0632,0.92,5.578144,-0.005045405783715928
2018-03-27,5.58,6.0632,0.92,5.578144,0.00033272715799381736
2018-03-28,5.44,6.0012,0.92,5.521104,-0.014689815660056338
2018-03-29,5.51,5.9702,0.92,5.492584000000001,0.003170820874109248
2018-04-03,5.36,5.7533,0.92,5.293036000000001,0.012651340364962405
2018-04-04,5.34,5.65,0.92,5.198,0.02731819930742585
2018-04-09,5.35,5.8256,0.92,5.359552,-0.0017822385154580012
2018-04-10,5.43,5.9599,0.92,5.4831080000000005,-0.009685747572362402
2018-04-11,5.5,6.2078,0.92,5.711176,-0.03697592229691393
2018-04-12,5.53,6.435,0.92,5.9201999999999995,-0.06590993547515278
2018-04-13,5.45,6.3524,0.92,5.844208,-0.0674527669104179
2018-04-16,5.4,6.3421,0.92,5.834732000000001,-0.07450762091557939
2018-04-17,5.38,6.4454,0.92,5.929768,-0.09271323937125364
2018-04-18,5.47,6.5487,0.92,6.0248040000000005,-0.09208664713408121
2018-04-19,5.55,6.8379,0.92,6.290868000000001,-0.1177688039234015
2018-04-20,5.47,6.6726,0.92,6.1387920000000005,-0.10894521267376389
2018-04-23,5.42,6.6106,0.92,6.081752,-0.10880943517591635
2018-04-24,5.52,6.6623,0.92,6.129316,-0.09941011362442409
2018-04-25,5.47,6.6623,0.92,6.129316,-0.10756763071115938
2018-04-26,5.4,6.6313,0.92,6.100796000000001,-0.11486960062260732
2018-04-27,5.48,6.8172,0.92,6.271824,-0.12625099173701293
2018-05-02,5.45,6.8585,0.92,6.30982,-0.13626696165659247
2018-05-03,5.51,6.7139,0.92,6.176788,-0.10795060474796936
2018-05-04,5.51,6.7449,0.92,6.2053080000000005,-0.11205052190801823
2018-05-07,5.61,6.9515,0.92,6.39538,-0.12280427433553598
2018-05-08,5.61,6.8275,0.92,6.2813,-0.10687278111219012
2018-05-09,5.65,6.9825,0.92,6.423900000000001,-0.12047198742197107
2018-05-10,5.73,7.1787,0.92,6.604404000000001,-0.132397109565072
2018-05-11,5.71,7.1581,0.92,6.585452,-0.13293726839099274
2018-05-14,5.72,7.22,0.92,6.6424,-0.13886547031193552
2018-05-15,5.73,7.251,0.92,6.670920000000001,-0.14104801136874678
2018-05-16,5.65,7.3543,0.92,6.765956000000001,-0.16493692835129292
2018-05-17,5.66,7.22,0.92,6.6424,-0.1478983499939781
2018-05-18,6.08,7.4679,0.92,6.870468000000001,-0.11505300657830009
2018-05-21,6.1,7.4989,0.92,6.898988,-0.11581234812989971
2018-05-23,5.9,7.0445,0.92,6.48094,-0.08963823149111083
2018-05-24,5.9,7.0238,0.92,6.461896,-0.08695528371239647
2018-05-25,5.82,6.7759,0.92,6.233828,-0.06638425057605046
2018-05-28,5.82,6.7139,0.92,6.176788,-0.05776270773741954
2018-05-29,5.76,6.6003,0.92,6.0722760000000005,-0.05142651618602323
2018-05-30,5.59,6.6519,0.92,6.119748,-0.08656369510639994
2018-05-31,5.71,6.8172,0.92,6.271824,-0.08957904430991681
2018-06-01,5.73,7.0754,0.92,6.509368,-0.11973021036758102
2018-06-04,5.7,7.0238,0.92,6.461896,-0.11790595206112886
2018-06-05,5.71,7.0238,0.92,6.461896,-0.11635841864369223
2018-06-06,5.71,7.0548,0.92,6.490416000000001,-0.12024129115914917
2018-06-07,5.68,7.1076,0.92,6.538992,-0.13136458952694863
2018-06-08,5.66,6.9703,0.92,6.412676,-0.11737315279923699
2018-06-11,5.56,7.097,0.92,6.529240000000001,-0.14844606722987685
2018-06-12,5.6,7.2132,0.92,6.636144,-0.15613645514624164
2018-06-13,5.57,7.0653,0.92,6.500076,-0.1430869423680584
2018-06-14,5.54,6.9069,0.92,6.354348000000001,-0.1281560279669921
2018-06-15,5.55,6.833,0.92,6.28636,-0.11713614874108391
2018-06-19,5.3,6.6218,0.92,6.092056,-0.13001456322791527
2018-06-20,5.31,6.7908,0.92,6.247536,-0.15006492159468954
2018-06-21,5.25,6.569,0.92,6.043480000000001,-0.13129521401576583
2018-06-22,5.27,6.5162,0.92,5.994904000000001,-0.12092003474951407
2018-06-25,5.27,6.6746,0.92,6.140632,-0.14178214880813578
2018-06-26,5.29,6.6429,0.92,6.111468,-0.13441418657514037
2018-06-27,5.42,6.8541,0.92,6.305772,-0.14047003285244064
2018-06-28,5.56,7.1181,0.92,6.548652000000001,-0.1509703065608008
2018-06-29,5.56,7.1498,0.92,6.577816,-0.1547346414068136
2018-07-03,5.43,7.0337,0.92,6.471004,-0.16087209960000026
2018-07-04,5.4,6.8013,0.92,6.257196,-0.13699363101299689
2018-07-05,5.36,6.6323,0.92,6.101716,-0.1215585910586463
2018-07-06,5.38,6.6429,0.92,6.111468,-0.11968777387036966
2018-07-09,5.49,6.7168,0.92,6.179456,-0.11157228079623838
2018-07-10,5.6,6.8858,0.92,6.334936,-0.11601316887810709
2018-07-11,5.48,6.8436,0.92,6.296112000000001,-0.1296215823352571
2018-07-12,5.51,6.833,0.92,6.28636,-0.12349913145285984
2018-07-13,5.48,6.8013,0.92,6.257196,-0.12420835147244869
2018-07-16,5.4,6.8647,0.92,6.315524,-0.1449640599893215
2018-07-17,5.27,6.6323,0.92,6.101716,-0.1363085400893782
2018-07-18,5.25,6.5479,0.92,6.024068000000001,-0.1284958934726501
2018-07-19,5.22,6.495,0.92,5.9754000000000005,-0.12641831509187684
2018-07-20,5.31,6.5162,0.92,5.994904000000001,-0.1142477010474231
2018-07-23,5.38,6.5901,0.92,6.062892,-0.11263469644519475
2018-07-24,5.46,6.569,0.92,6.043480000000001,-0.09654702257639647
2018-07-25,5.47,6.8013,0.92,6.257196,-0.1258065114150173
2018-07-26,5.47,6.7802,0.92,6.237784,-0.12308601900931493
2018-07-27,5.47,6.7696,0.92,6.228032,-0.12171292633050057
2018-07-30,5.48,6.8224,0.92,6.276608,-0.12691695896892075
2018-07-31,5.58,6.928,0.92,6.37376,-0.12453559594336783
2018-08-01,5.47,6.8541,0.92,6.305772,-0.13254078961307203
2018-08-02,5.45,6.6323,0.92,6.101716,-0.10680864202791474
2018-08-03,5.49,6.5479,0.92,6.024068000000001,-0.08865570574568549
2018-08-06,5.48,6.6112,0.92,6.082304000000001,-0.09902563239193574
2018-08-07,5.73,6.8013,0.92,6.257196,-0.08425435290823557
2018-08-08,5.82,6.9069,0.92,6.354348000000001,-0.08409171169095564
2018-08-09,5.82,6.8436,0.92,6.296112000000001,-0.0756200016772256
2018-08-10,5.79,6.738,0.92,6.1989600000000005,-0.0659723566533742
2018-08-13,5.77,6.6007,0.92,6.072644,-0.0498372702236457
2018-08-14,5.85,6.6007,0.92,6.072644,-0.036663436881859135
2018-08-15,5.83,6.4739,0.92,5.9559880000000005,-0.021153165520145456
2018-08-16,5.73,6.3261,0.92,5.820012,-0.015465947492891763
2018-08-17,5.77,6.3261,0.92,5.820012,-0.008593109430015011
2018-08-20,5.9,6.5373,0.92,6.014316,-0.019007315212569376
2018-08-21,5.9,6.6007,0.92,6.072644,-0.028429791043242503
2018-08-22,5.77,6.7696,0.92,6.228032,-0.07354361698848055
2018-08-23,5.82,6.7802,0.92,6.237784,-0.06697634929327467
2018-08-24,5.87,7.0442,0.92,6.480664,-0.09422861608008071
2018-08-27,5.96,7.1921,0.92,6.616732,-0.09925322651725954
2018-08-28,5.9,7.3082,0.92,6.723544,-0.12248659337991985
2018-08-29,5.9,7.3188,0.92,6.733296000000001,-0.12375751786346545
2018-08-30,5.88,7.3082,0.92,6.723544,-0.12546121509727615
2018-08-31,5.8,7.3294,0.92,6.743048,-0.1398548549558004
2018-09-03,5.82,7.3082,0.92,6.723544,-0.1343850802493447
2018-09-04,5.95,7.3716,0.92,6.781872,-0.1226611177562773
2018-09-05,5.92,7.0865,0.92,6.51958,-0.09196604689259136
2018-09-06,5.95,7.2593,0.92,6.678556,-0.10908885094322784
2018-09-07,5.92,7.4862,0.92,6.887304,-0.14044740873932682
2018-09-10,5.9,7.3997,0.92,6.807724,-0.13333736796615137
2018-09-11,5.95,7.5402,0.92,6.936984,-0.14227854641152404
2018-09-12,5.97,7.6482,0.92,7.036344000000001,-0.1515480198239314
2018-09-13,6.16,7.9507,0.92,7.314644,-0.15785375200761653
2018-09-14,6.25,7.8967,0.92,7.264964,-0.13970667989545438
2018-09-17,6.26,7.8318,0.92,7.205256,-0.13118978701103756
2018-09-18,6.21,7.8751,0.92,7.2450920000000005,-0.1428680270726722
2018-09-19,6.44,8.0695,0.92,7.42394,-0.13253609269471456
2018-09-20,6.47,7.9291,0.92,7.294772,-0.11306343776063188
2018-09-21,6.42,7.6374,0.92,7.026408000000001,-0.08630412580652891
2018-09-26,6.6,8.0155,0.92,7.37426,-0.1049949418653533
2018-09-27,6.64,8.0695,0.92,7.42394,-0.10559621979703504
2018-09-28,6.68,8.372,0.92,7.702240000000001,-0.13271983215272454
2018-10-08,6.44,7.7778,0.92,7.155576,-0.10000257142122448
2018-10-09,6.72,7.9399,0.92,7.304708,-0.0800453625251003
2018-10-10,6.8,8.0155,0.92,7.37426,-0.07787357646733362
2018-10-11,6.44,7.713,0.92,7.095960000000001,-0.09244133281472844
2018-10-12,6.49,7.8318,0.92,7.205256,-0.09926864500026089
2018-10-15,6.44,7.8751,0.92,7.2450920000000005,-0.11112239844573402
2018-10-16,6.5,8.0587,0.92,7.414004,-0.12328075355772672
2018-10-18,6.1,7.8967,0.92,7.264964,-0.16035371957796352
2018-10-19,6.21,7.605,0.92,6.996600000000001,-0.11242603550295871
2018-10-22,6.34,7.8534,0.92,7.225128,-0.12250689537956971
2018-10-23,6.21,7.6266,0.92,7.016472,-0.1149398159074817
2018-10-24,6.05,7.3349,0.92,6.748108,-0.1034524047332972
2018-10-25,6.03,7.1189,0.92,6.549388,-0.07930328757435046
2018-10-26,6.01,7.2377,0.92,6.658684000000001,-0.09741924980972227
2018-10-29,6.0,7.2377,0.92,6.658684000000001,-0.09892104806295066
2018-10-30,6.02,7.3241,0.92,6.738172,-0.10658261617542564
2018-10-31,6.06,7.2701,0.92,6.688492,-0.09396617354106129
2018-11-01,5.98,7.2593,0.92,6.678556,-0.10459686195638696
2018-11-02,6.06,7.3349,0.92,6.748108,-0.10197050788161666
2018-11-05,6.04,7.3025,0.92,6.7183,-0.10096304124555322
2018-11-06,6.09,7.5078,0.92,6.907176,-0.11830826375352244
2018-11-07,5.97,7.4862,0.92,6.887304,-0.13318767401584142
2018-11-08,6.0,7.6482,0.92,7.036344000000001,-0.14728444203410185
2018-11-09,5.9,7.3133,0.92,6.728236,-0.12309853578263297
2018-11-12,5.92,7.4213,0.92,6.827596,-0.1329305366046849
2018-11-13,5.87,7.1945,0.92,6.61894,-0.11315104835517475
2018-11-14,5.71,6.8596,0.92,6.310832,-0.09520646406052335
2018-11-15,5.74,7.0,0.92,6.44,-0.10869565217391308
2018-11-16,5.73,7.0757,0.92,6.509644000000001,-0.11976753260239736
2018-11-19,5.77,7.2053,0.92,6.628876000000001,-0.12956585701708723
2018-11-20,5.71,7.0433,0.92,6.479836000000001,-0.11880485864148427
2018-11-21,5.62,6.8704,0.92,6.320768,-0.11086754014702016
2018-11-22,5.63,6.9244,0.92,6.3704480000000006,-0.11623169987416904
2018-11-23,5.57,6.838,0.92,6.29096,-0.11460254078868726
2018-11-26,5.54,6.9028,0.92,6.350576,-0.12763818589053977
2018-11-27,5.51,6.7624,0.92,6.221408,-0.11434839187527979
2018-11-28,5.55,6.9136,0.92,6.360512,-0.12742873529678111
2018-11-29,5.51,6.9244,0.92,6.3704480000000006,-0.13506867962818325
2018-11-30,5.55,7.1837,0.92,6.6090040000000005,-0.16023655001570591
2018-12-03,5.63,7.3997,0.92,6.807724,-0.1729982002795648
2018-12-04,5.63,7.4754,0.92,6.877368,-0.1813728740413484
2018-12-05,5.59,7.1945,0.92,6.61894,-0.15545389443022606
2018-12-06,5.54,7.0541,0.92,6.489772,-0.1463490550977754
2018-12-07,5.52,6.9028,0.92,6.350576,-0.13078750651909377
2018-12-10,5.55,6.9244,0.92,6.3704480000000006,-0.12878968637684518
2018-12-11,5.52,6.8812,0.92,6.330704,-0.1280590594663722
2018-12-12,5.57,6.8812,0.92,6.330704,-0.12016104370066893
2018-12-13,5.62,7.0541,0.92,6.489772,-0.13402196564070357
2018-12-14,5.6,6.9136,0.92,6.360512,-0.11956773291206746
2018-12-17,5.63,6.8488,0.92,6.300896,-0.1064762852775224
2018-12-18,5.56,6.5679,0.92,6.042468,-0.07984618205673588
2018-12-19,5.44,6.4167,0.92,5.903364,-0.07849151771769447
2018-12-20,5.42,6.3303,0.92,5.823876,-0.06934831716884082
2018-12-21,5.39,6.3087,0.92,5.804004,-0.07133075718073256
2018-12-24,5.41,6.3195,0.92,5.81394,-0.06947784118859146
2018-12-27,5.26,6.3519,0.92,5.843748,-0.09989274007024262
2018-12-28,5.25,6.4707,0.92,5.953044,-0.11809823680120624
2019-01-02,5.22,6.1142,0.92,5.625064000000001,-0.07201055845764615
2019-01-03,5.25,6.2007,0.92,5.704644000000001,-0.07969717304007062
2019-01-04,5.31,6.5247,0.92,6.002724000000001,-0.11540160767011787
2019-01-07,5.33,6.6868,0.92,6.151856,-0.13359480455979467
2019-01-08,5.34,6.7192,0.92,6.1816640000000005,-0.13615492527578343
2019-01-09,5.34,6.8704,0.92,6.320768,-0.1551659545169195
2019-01-10,5.36,6.9244,0.92,6.3704480000000006,-0.1586149043207009
2019-01-11,5.38,6.9244,0.92,6.3704480000000006,-0.15547540769503188
2019-01-14,5.33,6.6004,0.92,6.072368,-0.12225346026459527
2019-01-15,5.35,6.8704,0.92,6.320768,-0.15358386828942316
2019-01-16,5.35,6.8596,0.92,6.310832,-0.15225124040697025
2019-01-17,5.33,6.838,0.92,6.29096,-0.15275252107786408
2019-01-18,5.36,6.9784,0.92,6.420128,-0.16512567973722636
2019-01-21,5.39,7.0865,0.92,6.51958,-0.17325962715389653
2019-01-22,5.33,6.9892,0.92,6.430064000000001,-0.17108134538007713
2019-01-23,5.29,6.8164,0.92,6.271088,-0.15644621794495628
2019-01-24,5.31,6.9136,0.92,6.360512,-0.16516154674340688
2019-01-25,5.31,7.0541,0.92,6.489772,-0.18178943728685704
2019-01-28,5.3,7.0433,0.92,6.479836000000001,-0.18207806493868062
2019-01-29,5.3,6.8272,0.92,6.281024,-0.15618854505252655
2019-01-30,5.28,6.9136,0.92,6.360512,-0.16987814817423497
2019-01-31,5.33,7.0865,0.92,6.51958,-0.18246267397593097
2019-02-01,5.36,7.1405,0.92,6.569260000000001,-0.18407857201572175
