date,capital,spread,zscore,cheap_leg,position,gross_exposure,returns
2018-01-02,100000.0,0.3398305333006555,,flat,flat,0.0,0.0
2018-01-03,100000.0,0.3360835181156765,,flat,flat,0.0,0.0
2018-01-04,100000.0,0.33860936525735386,,flat,flat,0.0,0.0
2018-01-05,100000.0,0.3366862410842262,,flat,flat,0.0,0.0
2018-01-08,100000.0,0.3394563808403712,,flat,flat,0.0,0.0
2018-01-09,100000.0,0.33644439301292883,,flat,flat,0.0,0.0
2018-01-10,100000.0,0.3503480636736498,,flat,flat,0.0,0.0
2018-01-11,100000.0,0.35329306784218306,,flat,flat,0.0,0.0
2018-01-12,100000.0,0.3316409529519311,,flat,flat,0.0,0.0
2018-01-15,100000.0,0.3515792539136551,,flat,flat,0.0,0.0
2018-01-16,100000.0,0.32419345300358815,,flat,flat,0.0,0.0
2018-01-17,100000.0,0.34889702825655355,,flat,flat,0.0,0.0
2018-01-18,100000.0,0.3460582645717081,,flat,flat,0.0,0.0
2018-01-19,100000.0,0.38411819763938504,,flat,flat,0.0,0.0
2018-01-22,100000.0,0.3659541676880911,,flat,flat,0.0,0.0
2018-01-23,100000.0,0.3854704944672356,,flat,flat,0.0,0.0
2018-01-24,100000.0,0.3757002342630664,,flat,flat,0.0,0.0
2018-01-25,100000.0,0.3615425347403831,,flat,flat,0.0,0.0
2018-01-26,100000.0,0.37788149559290685,,flat,flat,0.0,0.0
2018-01-29,100000.0,0.3817688371010419,,flat,flat,0.0,0.0
2018-01-30,100000.0,0.3843179532990948,,flat,flat,0.0,0.0
2018-01-31,100000.0,0.382961013149963,,flat,flat,0.0,0.0
2018-02-01,100000.0,0.38821132996218344,,flat,flat,0.0,0.0
2018-02-02,100000.0,0.3830813247794451,,flat,flat,0.0,0.0
2018-02-05,100000.0,0.4060438308130099,,flat,flat,0.0,0.0
2018-02-06,100000.0,0.39139501312369673,,flat,flat,0.0,0.0
2018-02-07,100000.0,0.36385811651663036,,flat,flat,0.0,0.0
2018-02-08,100000.0,0.35474351576206087,,flat,flat,0.0,0.0
2018-02-09,100000.0,0.32981707219113554,,flat,flat,0.0,0.0
2018-02-12,100000.0,0.3512715208905104,,flat,flat,0.0,0.0
2018-02-13,100000.0,0.35326122365152735,,flat,flat,0.0,0.0
2018-02-14,100000.0,0.3474828821556508,,flat,flat,0.0,0.0
2018-02-22,100000.0,0.33970556849471367,,flat,flat,0.0,0.0
2018-02-23,100000.0,0.3315993995635784,,flat,flat,0.0,0.0
2018-02-26,100000.0,0.33013812946625753,,flat,flat,0.0,0.0
2018-02-27,100000.0,0.31904733096310856,,flat,flat,0.0,0.0
2018-02-28,100000.0,0.31924435995024125,,flat,flat,0.0,0.0
2018-03-01,100000.0,0.33119161159922617,,flat,flat,0.0,0.0
2018-03-02,100000.0,0.33601218490779217,,flat,flat,0.0,0.0
2018-03-05,100000.0,0.3623731242772148,,flat,flat,0.0,0.0
2018-03-06,100000.0,0.3415903188201248,,flat,flat,0.0,0.0
2018-03-07,100000.0,0.3489905208287343,,flat,flat,0.0,0.0
2018-03-08,100000.0,0.3477330924729187,,flat,flat,0.0,0.0
2018-03-09,100000.0,0.3314709113184964,,flat,flat,0.0,0.0
2018-03-12,100000.0,0.3115240806451476,,flat,flat,0.0,0.0
2018-03-13,100000.0,0.3204061310832871,,flat,flat,0.0,0.0
2018-03-14,100000.0,0.3233107824678654,,flat,flat,0.0,0.0
2018-03-15,100000.0,0.320981304647477,,flat,flat,0.0,0.0
2018-03-16,100000.0,0.32010101502383725,,flat,flat,0.0,0.0
2018-03-19,100000.0,0.3183545491214186,,flat,flat,0.0,0.0
2018-03-20,100000.0,0.32648909685623795,,flat,flat,0.0,0.0
2018-03-21,100000.0,0.3055308087569475,,flat,flat,0.0,0.0
2018-03-22,100000.0,0.30302092881904685,,flat,flat,0.0,0.0
2018-03-23,100000.0,0.28908954554062394,,flat,flat,0.0,0.0
2018-03-26,100000.0,0.26305726432891796,,flat,flat,0.0,0.0
2018-03-27,100000.0,0.26844811296379456,,flat,flat,0.0,0.0
