date,a_close,h_close_hkd,fx_rate,h_close_cny,ah_premium_pct
2018-01-02,5.9,3.2529,0.92,2.992668,0.9714849759478834
2018-01-03,5.92,3.2063,0.92,2.949796,1.0069184445297235
2018-01-04,6.12,3.3695,0.92,3.09994,0.9742317593243739
2018-01-05,6.15,3.3811,0.92,3.110612,0.9771028980792205
2018-01-08,6.1,3.3578,0.92,3.089176,0.9746366021230255
2018-01-09,6.09,3.3695,0.92,3.09994,0.9645541526610191
2018-01-10,6.26,3.3928,0.92,3.121376,1.0055257681227765
2018-01-11,6.27,3.4278,0.92,3.153576,0.9882190884253303
2018-01-12,6.26,3.4569,0.92,3.1803480000000004,0.9683380560869437
2018-01-15,6.31,3.4453,0.92,3.1696760000000004,0.990739747532555
2018-01-16,6.23,3.4394,0.92,3.164248,0.9688722249330648
2018-01-17,6.31,3.3928,0.92,3.121376,1.0215443445454824
2018-01-18,6.25,3.3986,0.92,3.1267120000000004,0.9989049199286661
2018-01-19,6.44,3.3811,0.92,3.110612,1.0703321404276713
2018-01-22,6.41,3.422,0.92,3.1482400000000004,1.0360582420654079
2018-01-23,6.58,3.4394,0.92,3.164248,1.0794830240866076
2018-01-24,6.68,3.6202,0.92,3.3305840000000004,1.005654263636647
2018-01-25,6.62,3.7018,0.92,3.405656,0.9438252131160634
2018-01-26,6.66,3.7193,0.92,3.4217560000000002,0.9463690572910517
2018-01-29,6.66,3.7776,0.92,3.4753920000000003,0.916330589470195
2018-01-30,6.52,3.6435,0.92,3.35202,0.9450957929845285
2018-01-31,6.45,3.6143,0.92,3.3251560000000002,0.9397586158363698
2018-02-01,6.44,3.556,0.92,3.27152,0.9685039370078741
2018-02-02,6.66,3.6901,0.92,3.3948920000000005,0.9617708015453803
2018-02-05,6.69,3.5968,0.92,3.309056,1.0217246247872507
2018-02-06,6.31,3.387,0.92,3.1160400000000004,1.0250060974827022
2018-02-07,6.13,3.2995,0.92,3.03554,1.019410055542012
2018-02-08,5.98,3.2471,0.92,2.9873320000000003,1.0017862092328538
2018-02-09,5.69,3.1363,0.92,2.885396,0.971999683925534
2018-02-12,5.71,3.0838,0.92,2.8370960000000003,1.0126213564856457
2018-02-13,5.73,3.0955,0.92,2.84786,1.0120371085657305
2018-02-14,5.74,3.113,0.92,2.86396,1.004217936004693
2018-02-22,5.84,3.1946,0.92,2.939032,0.9870487970188824
