,entry_date,exit_date,direction,a_side,a_shares,h_side,h_shares,entry_zscore,exit_zscore,gross_pnl,entry_cost,exit_cost,net_pnl,holding_days,exit_reason
0,2018-04-04,2018-04-27,long_a_only,1,17700,0,0,-2.448647367002887,-1.770587933091037,2478.00000000001,18.9036,19.399200000000004,2439.69720000001,15,max_holding_period
1,2018-05-02,2018-05-24,long_a_only,1,17800,0,0,-1.7272269762410877,-1.1453432002907646,8010.000000000003,19.402,21.004,7969.594000000003,15,max_holding_period
2,2018-05-28,2018-06-19,long_a_only,1,18000,0,0,-1.8364753608328204,-1.630429835173981,-9360.00000000001,20.952,19.08,-9400.032000000008,15,max_holding_period
3,2018-06-20,2018-07-12,long_a_only,1,18000,0,0,-1.614152752480536,-0.6542373854379527,3600.000000000003,19.116,19.836,3561.0480000000034,15,max_holding_period
4,2018-09-05,2018-09-28,long_h_only,0,0,1,32300,1.6959118178384476,2.1890220018537296,13927.889200000005,198.38995919999996,226.2457376,13503.253503200005,15,max_holding_period
5,2018-10-08,2018-10-30,long_h_only,0,0,1,33100,1.9195311664738437,1.5128811109405877,-10423.719600000006,223.80392880000002,202.9564896,-10850.480018400005,15,max_holding_period
6,2019-03-04,2019-03-19,long_h_only,0,0,1,35500,1.7898313870727014,-0.053900798578700955,3527.280000000012,203.164796,210.21935600000006,3113.895848000012,11,mean_reversion
7,2019-04-16,2019-04-25,long_h_only,0,0,1,37500,1.637747115283738,0.17018151864604433,620.9999999999882,209.22180000000003,210.4638,201.31439999998815,5,mean_reversion
8,2019-05-10,2019-06-03,long_h_only,0,0,1,41300,2.1140906226535168,2.0555301704163176,-4791.2956,209.889904,200.3073128,-5201.492816800001,15,max_holding_period
9,2019-06-04,2019-06-26,long_h_only,0,0,1,41700,2.10756045410572,0.7429579389796943,1453.9956000000143,199.9454952,202.85348640000007,1051.1966184000144,15,max_holding_period
10,2019-07-22,2019-08-07,long_a_only,1,21200,0,0,-1.532433481727341,-0.4027160556211149,-3815.999999999994,20.1824,19.4192,-3855.601599999994,12,mean_reversion
11,2019-09-09,2019-10-08,long_a_only,1,20800,0,0,-1.5831550384838,-1.6344612542249204,-2079.9999999999927,19.4272,19.0112,-2118.4383999999927,15,max_holding_period
12,2019-10-09,2019-10-30,long_a_only,1,20900,0,0,-1.5517336098252077,-1.7051142028516961,-1880.999999999997,19.060799999999997,18.6846,-1918.745399999997,15,max_holding_period
13,2019-11-05,2019-11-26,long_a_only,1,21200,0,0,-1.7072490466201313,-1.0247043526815447,-3815.999999999994,18.6984,17.935200000000002,-3852.633599999994,15,max_holding_period
14,2019-12-13,2020-01-08,long_a_only,1,21100,0,0,-1.5052506589118935,-0.2186072331038421,8651.000000000004,17.935,19.6652,8613.399800000003,15,mean_reversion
15,2020-02-03,2020-02-17,long_a_only,1,25600,0,0,-1.5361095205434283,-0.24409684125379855,4863.999999999987,19.6096,20.582399999999996,4823.807999999987,10,mean_reversion
16,2020-02-28,2020-03-06,long_h_only,0,0,1,58800,1.755628861309275,3.0919872197662106,-340.8047999999948,205.077936,204.39632640000002,-750.2790623999949,5,stop_loss
17,2020-03-09,2020-03-10,long_h_only,0,0,1,64900,5.347987316221798,4.262616379789023,2621.181200000006,203.8669952,209.1093576,2208.204847200006,1,stop_loss
18,2020-03-11,2020-03-12,long_h_only,0,0,1,66000,4.323783647106472,5.009583032345575,-6478.82400000001,208.08744000000004,195.129792,-6882.04123200001,1,stop_loss
19,2020-03-13,2020-03-16,long_h_only,0,0,1,65400,4.288599749296653,4.700291923567912,-4530.650399999993,194.8600848,185.798784,-4911.309268799993,1,stop_loss
20,2020-03-17,2020-03-18,long_h_only,0,0,1,65900,4.304385270221113,4.533273720882663,-4947.244800000002,185.6914384,175.79694880000002,-5308.733187200002,1,stop_loss
21,2020-03-19,2020-03-23,long_h_only,0,0,1,68100,4.3712511442181015,3.2823773376403906,2756.6879999999896,175.37547840000002,180.88885439999999,2400.4236671999897,2,stop_loss
22,2020-03-24,2020-03-31,long_h_only,0,0,1,63600,2.434152954080102,-0.4045017379612608,14323.737600000006,179.94780480000003,208.59528000000003,13935.194515200006,5,mean_reversion
23,2020-09-24,2020-10-27,long_h_only,0,0,1,74400,1.8709862536736919,1.2722960314920138,766.6175999999903,206.41178880000004,207.945024,352.2607871999902,15,max_holding_period
24,2020-10-28,2020-11-10,long_h_only,0,0,1,75500,1.5815432485297964,-0.2993659861570519,12141.608000000006,207.282532,231.56574800000004,11702.759720000005,9,mean_reversion
25,2021-01-18,2021-01-26,long_a_only,1,34800,0,0,-2.025038540305232,-0.4071304714517607,-2435.9999999999945,22.8984,22.4112,-2481.3095999999946,6,mean_reversion
26,2021-02-18,2021-03-11,long_a_only,1,33000,0,0,-1.7012067274103715,-2.949811895002611,1320.0000000000011,22.44,22.704,1274.8560000000011,15,max_holding_period
27,2021-03-12,2021-04-07,long_a_only,1,32900,0,0,-2.756063244419066,-1.4070410369787338,-4606.000000000004,22.701,21.7798,-4650.480800000004,15,max_holding_period
28,2021-05-06,2021-05-28,long_a_only,1,32100,0,0,-1.852987587030152,-0.9752603753813665,7062.000000000006,21.828,23.2404,7016.931600000006,15,max_holding_period
29,2021-06-02,2021-06-11,long_a_only,1,31700,0,0,-1.6636607930173026,-0.45756219986267793,11728.999999999989,23.141,25.4868,11680.372199999989,7,mean_reversion
30,2021-07-05,2021-07-26,long_a_only,1,31000,0,0,-1.7103362504879058,-1.0207738648442888,-13639.999999999998,25.358,22.63,-13687.987999999998,15,max_holding_period
31,2021-08-03,2021-08-20,long_a_only,1,31500,0,0,-1.675836464905561,-0.3402266998159801,-4409.99999999999,22.743,21.861,-4454.60399999999,13,mean_reversion
32,2021-09-09,2021-09-15,long_h_only,0,0,1,49100,2.1601381854043002,3.480709954192894,13754.874000000014,219.41847280000002,246.92822080000005,13288.527306400014,4,stop_loss
33,2021-09-16,2021-09-23,long_h_only,0,0,1,48200,2.860205244956079,3.748358016415776,-323.7111999999973,244.33544000000003,243.6880176,-811.7346575999973,2,stop_loss
34,2021-09-24,2021-09-27,long_h_only,0,0,1,47900,3.3393760283318707,4.008667203948949,1595.2615999999894,242.81468000000004,246.00520319999995,1106.4417167999893,1,stop_loss
35,2021-09-28,2021-09-29,long_h_only,0,0,1,46700,4.477584236977112,3.6540041843699465,-8098.714000000027,244.82605760000004,228.6286296,-8572.168687200028,1,stop_loss
36,2021-09-30,2021-10-20,long_h_only,0,0,1,46500,3.193948329908724,0.4978995209919267,11477.874000000003,228.89011200000002,251.84585999999996,10997.138028000003,7,mean_reversion
37,2021-11-11,2021-12-02,long_a_only,1,32200,0,0,-1.5982226856600863,-0.5153108678060954,1932.0000000000018,24.9872,25.3736,1881.639200000002,15,max_holding_period
38,2022-01-28,2022-02-11,long_a_only,1,31300,0,0,-1.7746876386616952,0.26804314209462693,19718.999999999996,25.2904,29.2342,19664.475399999996,5,mean_reversion
39,2022-04-21,2022-04-28,long_a_only,1,34900,0,0,-1.84375764824509,-0.36947675752310516,348.99999999999255,29.0368,29.1066,290.85659999999257,5,mean_reversion
40,2022-05-23,2022-05-27,long_a_only,1,34600,0,0,-1.522866691696212,-0.35318423825633355,8995.999999999993,29.1332,30.9324,8935.934399999993,4,mean_reversion
41,2022-06-07,2022-06-09,long_a_only,1,34800,0,0,-1.7473346857539287,-0.1920135790240649,8352.000000000007,30.8328,32.5032,8288.664000000008,2,mean_reversion
42,2022-06-14,2022-06-15,long_h_only,0,0,1,56200,3.433883169204572,3.3387431083534014,-2998.832000000029,323.87385600000005,317.876192,-3640.5820480000293,1,stop_loss
43,2022-06-16,2022-06-21,long_h_only,0,0,1,58100,2.8571138743473536,0.08274420685557711,-4933.619600000013,316.9917408,307.12450160000003,-5557.735842400013,3,mean_reversion
44,2022-07-05,2022-07-26,long_h_only,0,0,1,60200,1.6891464695627,0.8295143941614709,-2065.8232000000007,306.6501312000001,302.5184848,-2674.9918160000007,15,max_holding_period
45,2022-08-10,2022-08-31,long_h_only,0,0,1,63800,1.6877301535311828,0.6073564852221875,11827.24400000002,301.3335248,324.98801280000004,11200.92246240002,15,max_holding_period
46,2022-09-05,2022-09-27,long_h_only,0,0,1,62800,1.7215887603844902,1.4245694038057986,-10688.559999999994,322.4825216,301.10540160000005,-11312.147923199995,15,max_holding_period
47,2022-09-28,2022-10-26,long_h_only,0,0,1,64200,1.6744619686453848,0.6843945913583662,5174.006399999986,301.2264,311.5744128,4561.2055871999855,15,max_holding_period
48,2022-12-15,2022-12-30,long_a_only,1,35700,0,0,-1.9949357638217957,-2.620708465783131,-3569.9999999999873,30.9876,30.2736,-3631.261199999987,9,end_of_sample
